Period_Index,Price_EUR_MWh,Optimized_Grid_Load_kW,Market_Price_EUR_MWh,Baseline_Load_kW,Net_Grid_Import_kW,PV_Generation_kW,BESS_SoC_kWh,Ambient_Temp_C,BESS_Cell_Temp_C
169,102.96,324.2,102.96,750,0,178.7649,777.3048,24.1,67.637
170,102.96,300,102.96,625.1,0,159.1278,739.0453,23.700000000000003,67.305
171,102.96,621.8,102.96,900,0,139.4908,701.9737,23.3,67.774
172,102.96,600,102.96,900,0,119.8537,575.0448,22.9,68.171
173,125.98,600.2,125.98,900,0,100.2167,448.6906,22.5,72.823
174,125.98,519.3,125.98,900,0,87.7573,317.1116,22.075,77.33
175,125.98,392,125.98,900,0,75.2979,203.5515,21.65,81.969
176,125.98,62.8,125.98,900,0,62.8386,120.1977,21.225,85.636
177,121.98,50.4,121.98,900,0,50.3792,120.1977,20.8,87.774
178,121.98,41.4,121.98,900,0,41.441,120.1977,20.4,85.899
179,121.98,147.3,121.98,900,0,32.5027,120.1977,20,84.067
180,121.98,23.6,121.98,900,0,23.5645,90,19.6,82.278
181,110.05,14.6,110.05,900,0,14.6262,90,19.2,81.966
182,110.05,11,110.05,900,0,10.9697,90,18.8,80.226
183,110.05,7.3,110.05,900,0,7.3131,90,18.4,78.526
184,110.05,3.7,110.05,900,0,3.6566,90,18,76.869
185,95.93,0,95.93,684.2,0,0,90,17.6,75.253
186,95.93,0,95.93,301.6,0,0,90,17.425,73.676
187,95.93,0,95.93,150,0,0,90,17.25,72.138
188,95.93,0,95.93,21.7,0,0,90,17.075,70.635
189,73.85,150,73.85,300,150,0,90,16.9,69.165
190,73.85,108.5,73.85,300,108.4881,0,90,16.849999999999998,67.728
191,73.85,0,73.85,300,0,0,90,16.799999999999997,66.322
192,73.85,265.1,73.85,153.9,265.0924,0,90,16.75,64.951
193,79.96,0,79.96,900,0,0,90,16.7,63.614
194,79.96,0,79.96,900,0,0,90,16.575,62.31
195,79.96,0,79.96,900,0,0,90,16.45,14.7
196,79.96,0,79.96,900,0,0,90,16.325,14.7
197,73.05,150,73.05,900,150,0,90,16.2,14.698
198,73.05,186.5,73.05,900,186.5067,0,90,16.05,14.694
199,73.05,317.9,73.05,900,317.8677,0,90,15.899999999999999,14.689
200,73.05,0,73.05,900,0,0,90,15.75,14.682
201,67.79,900,67.79,900,900,0,90,15.6,14.674
202,67.79,900,67.79,900,900,0,90,15.65,14.666
203,67.79,900,67.79,900,900,0,90,15.7,14.658
204,67.79,900,67.79,900,900,0,90,15.75,14.649
205,73.08,0,73.08,900,0,0,90,15.8,14.639
206,73.08,0,73.08,900,0,0,90,15.75,14.627
207,73.08,0,73.08,900,0,0,90,15.7,14.613
208,73.08,0,73.08,900,0,0,90,15.65,14.598
209,73.05,42.1,73.05,900,42.064,0,90,15.6,14.583
210,73.05,150,73.05,900,150,0,90,15.6,14.569
211,73.05,150,73.05,792.2,150,0,90,15.6,14.555
212,73.05,442.7,73.05,627.4,442.6823,0,90,15.6,14.541
213,73.78,0,73.78,364.8,0,0,90,15.6,14.528
214,73.78,3,73.78,250.5,0,2.9794,90,15.55,14.515
215,73.78,6,73.78,150,0,5.9588,90,15.5,14.502
216,73.78,8.9,73.78,150,0,8.9382,90,15.45,14.489
217,96.89,11.9,96.89,0,0,11.9177,90,15.4,14.477
218,96.89,24.5,96.89,0,0,24.5125,90,15.575000000000001,14.466
219,96.89,37.1,96.89,0,0,37.1073,90,15.75,14.454
220,96.89,49.7,96.89,0,0,49.7021,90,15.925,14.443
221,99.84,0,99.84,0,0,62.2969,90,16.1,14.433
222,99.84,0,99.84,0,0,75.0271,92.7656,16.3,14.423
223,99.84,0,99.84,0,0,87.7573,92.7656,16.5,14.415
224,99.84,0,99.84,0,0,100.4875,92.7656,16.7,14.552
225,80.25,113.2,80.25,900,0,113.2178,92.7656,16.9,14.541
226,80.25,126.4,80.25,595.7,0,126.3543,92.7656,17.049999999999997,14.53
227,80.25,150,80.25,490.4,0,139.4908,92.7656,17.2,14.52
228,80.25,0,80.25,355,0,152.6273,90,17.35,14.509
229,59.03,165.8,59.03,150,0,165.7638,92.4392,17.5,14.5
230,59.03,170.1,59.03,28.6,0,190.1408,92.4392,17.775,14.622
231,59.03,223.8,59.03,150,0,214.5179,92.4392,18.05,14.74
232,59.03,150,59.03,150,0,238.8949,90,18.325000000000003,14.726
233,19.71,263.3,19.71,150,0,263.2719,90,18.6,14.715
234,19.71,273.2,19.71,72.9,0,273.1582,90,18.8,14.822
235,19.71,283,19.71,300,0,283.0444,90,19,14.812
236,19.71,205.5,19.71,178.6,0,292.9307,90,19.2,14.805
237,1.38,300,1.38,300,0,302.8169,90,19.4,14.793
238,1.38,301.7,1.38,132.3,0,322.7248,90,19.724999999999998,14.777
239,1.38,300,1.38,150,0,342.6327,90,20.049999999999997,14.757
240,1.38,150,1.38,150,0,362.5406,90,20.375,14.734
241,0.74,150,0.74,69,0,382.4485,90,20.7,14.708
242,0.74,150,0.74,0,0,379.1983,90,20.8,14.681
243,0.74,150,0.74,0,0,375.948,90,20.9,14.651
244,0.74,300,0.74,0,0,372.6977,90,21,14.621
245,0.01,0,0.01,0,0,369.4475,90,21.1,14.595
246,0.01,0,0.01,0,0,356.3109,90,21.150000000000002,14.574
247,0.01,300,0.01,450,0,343.1744,90,21.200000000000003,14.558
248,0.01,115.2,0.01,236.4,0,330.0379,90,21.25,14.547
249,-3.4,450,-3.4,300,900,316.9014,90,21.3,14.53
250,-3.4,450,-3.4,300,900,322.0477,196.875,21.55,14.508
251,-3.4,750,-3.4,750,900,327.1939,303.75,21.8,14.482
252,-3.4,750,-3.4,612.8,900,332.3402,339.375,22.05,20.075
253,-2.4,418.4,-2.4,355.5,900,337.4865,375,22.3,25.53
254,-2.4,450,-2.4,265.2,900,339.1116,489.375,22.325,27.099
255,-2.4,450,-2.4,300,900,340.7367,596.25,22.35,28.629
256,-2.4,450,-2.4,296.9,900,342.3619,703.125,22.375,34.265
257,16.19,150,16.19,150,0,343.987,810,22.4,39.366
258,16.19,163,16.19,150,0,335.7259,810,22.4,44.339
259,16.19,300,16.19,450,0,327.4648,810,22.4,49.187
260,16.19,300,16.19,450,0,319.2037,810,22.4,48.288
261,68.79,75,68.79,268.5,0,310.9426,810,22.4,47.413
262,68.79,150,68.79,0,0,295.9101,810,22.275,46.559
263,68.79,300,68.79,300,19.1224,280.8776,810,22.15,45.728
264,68.79,300,68.79,300,34.1549,265.8451,810,22.025,44.917
265,89.72,324.2,89.72,750,0,250.8126,810,21.9,44.125
266,89.72,418.5,89.72,625.1,0,229.2795,790.7004,21.724999999999998,43.352
267,89.72,600,89.72,900,0,207.7465,740.9005,21.549999999999997,42.596
268,89.72,600,89.72,900,0,186.2134,637.6759,21.375,42.775
269,132.28,664.7,132.28,900,0,164.6804,528.7847,21.2,44.394
270,132.28,440.3,132.28,900,0,143.8245,397.2057,20.75,48.508
271,132.28,364,132.28,900,0,122.9686,319.1956,20.299999999999997,52.785
272,132.28,244.1,132.28,900,0,102.1127,255.7568,19.849999999999998,58.03
273,208.83,81.3,208.83,900,0,81.2568,218.3928,19.4,60.599
274,208.83,65.4,208.83,900,0,65.4117,218.3928,18.775,62.41
275,208.83,150,208.83,900,0,49.5666,218.3928,18.15,62.935
276,208.83,33.7,208.83,900,0,33.7216,191.963,17.525,61.67
277,171.44,150,171.44,900,0,17.8765,191.963,16.9,60.435
278,171.44,150,171.44,900,0,13.4074,157.1936,16.45,60.483
279,171.44,8.9,171.44,900,0,8.9382,121.2482,16,59.273
280,171.44,123.2,171.44,900,0,4.4691,121.2482,15.549999999999999,59.743
281,118.13,0,118.13,684.2,0,0,90,15.1,60.256
282,118.13,0,118.13,301.6,0,0,90,14.9,59.05
283,118.13,0,118.13,150,0,0,90,14.7,59.358
284,118.13,0,118.13,21.7,0,0,90,14.5,58.174
285,97.45,0,97.45,300,0,0,90,14.3,57.015
286,97.45,0,97.45,300,0,0,90,14.375,55.882
287,97.45,0,97.45,300,0,0,90,14.45,54.772
288,97.45,0,97.45,153.9,0,0,90,14.525,53.687
289,92.91,0,92.91,900,0,0,90,14.6,52.628
290,92.91,0,92.91,900,0,0,90,14.475,51.595
291,92.91,0,92.91,900,0,0,90,14.35,50.588
292,92.91,0,92.91,900,0,0,90,14.225,14.7
293,87.7,0,87.7,900,0,0,90,14.1,14.7
294,87.7,0,87.7,900,0,0,90,13.925,14.698
295,87.7,0,87.7,900,0,0,90,13.75,14.694
296,87.7,0,87.7,900,0,0,90,13.575,14.689
297,84.35,900,84.35,900,900,0,90,13.4,14.682
298,84.35,900,84.35,900,900,0,90,13.45,14.674
299,84.35,900,84.35,900,900,0,90,13.5,14.666
300,84.35,900,84.35,900,900,0,90,13.55,14.658
301,84.85,634.1,84.85,900,634.1153,0,90,13.6,14.649
302,84.85,750,84.85,900,750,0,90,13.425,14.639
303,84.85,0,84.85,900,0,0,90,13.25,14.627
304,84.85,17.6,84.85,900,17.6273,0,90,13.075,14.613
305,89.06,0,89.06,900,0,0,90,12.9,14.598
306,89.06,0,89.06,900,0,0,90,12.75,14.583
307,89.06,0,89.06,900,0,0,90,12.600000000000001,14.569
308,89.06,0,89.06,900,0,0,90,12.450000000000001,14.555
309,92,0,92,900,0,0,90,12.3,14.541
310,92,3.3,92,900,0,3.2503,90,12.3,14.528
311,92,6.5,92,900,0,6.5005,90,12.3,14.515
312,92,9.8,92,900,0,9.7508,90,12.3,14.502
313,109.76,13,109.76,472.9,0,13.0011,90,12.3,14.489
314,109.76,27.4,109.76,300,0,27.3564,90,12.5,14.477
315,109.76,41.7,109.76,0,0,41.7118,90,12.7,14.466
316,109.76,56.1,109.76,0,0,56.0672,90,12.9,14.454
317,96.83,0,96.83,0,0,70.4225,90,13.1,14.443
318,96.83,0,96.83,0,0,91.143,90,13.425,14.433
319,96.83,0,96.83,0,0,111.8635,90,13.75,14.423
320,96.83,0,96.83,0,0,132.584,90,14.075,14.415
321,76.66,153.3,76.66,900,0,153.3044,90,14.4,14.407
322,76.66,92.1,76.66,893,0,175.6501,90,14.8,14.399
323,76.66,198,76.66,900,0,197.9957,90,15.2,14.392
324,76.66,147,76.66,839.4,0,220.3413,90,15.6,14.385
325,36.46,150,36.46,620.4,0,242.6869,90,16,14.378
326,36.46,150,36.46,478.6,0,263.8137,90,16.425,14.371
327,36.46,150,36.46,463.2,0,284.9404,90,16.85,14.366
328,36.46,232,36.46,392.5,0,306.0672,90,17.275,14.361
329,0,750,0,202.2,750,327.1939,90,17.7,14.357
330,0,750,0,72.9,750,345.0704,90,18.15,14.355
331,0,0,0,300,0,362.9469,90,18.6,14.355
332,0,205.5,0,178.6,0,380.8234,90,19.05,14.357
333,-2,750,-2,300,900,398.6999,90,19.5,14.36
334,-2,750,-2,132.3,658.5,411.701,125.625,19.9,14.359
335,-2,450,-2,150,900,424.7021,101.546,20.3,14.354
336,-2,450,-2,150,0,437.7031,208.4211,20.700000000000003,14.345
337,-20,900,-20,69,900,450.7042,90,21.1,16.206
338,-20,638.1,-20,0,900,457.6111,90,21.450000000000003,17.288
339,-20,750,-20,0,900,464.5179,152.1921,21.8,22.822
340,-20,1117.4,-20,0,900,471.4247,187.8171,22.15,28.217
341,-28.8,400,-28.8,0,900,478.3315,130.5974,22.5,27.851
342,-28.8,400,-28.8,0,900,479.0087,249.3474,22.75,30.772
343,-28.8,690.2,-28.8,450,900,479.6858,368.0974,23,32.227
344,-28.8,492.8,-28.8,236.4,900,480.3629,417.9205,23.25,34.493
345,-26.29,1200,-26.29,300,900,481.0401,514.6343,23.5,40.239
346,-26.29,1200,-26.29,300,900,474.9458,435.6869,23.5,45.838
347,-26.29,1200,-26.29,750,900,468.8516,356.7396,23.5,47.666
348,-26.29,1200,-26.29,612.8,900,462.7573,277.7922,23.5,51.911
349,-11.57,600,-11.57,355.5,900,456.6631,198.8448,23.5,54.705
350,-11.57,450,-11.57,265.2,900,444.3391,270.0948,23.5,57.43
351,-11.57,600,-11.57,300,900,432.0152,376.9698,23.5,60.086
352,-11.57,592.6,-11.57,296.9,900,419.6912,448.2198,23.5,62.677
353,-2.78,450,-2.78,150,900,407.3673,521.2334,23.5,65.203
354,-2.78,400,-2.78,150,900,390.1679,628.1084,23.35,69.539
355,-2.78,923.7,-2.78,450,892.8946,372.9686,746.8584,23.2,71.892
356,-2.78,600,-2.78,450,900,355.7692,738.75,23.049999999999997,74.278
357,27.26,150,27.26,268.5,0,338.5699,810,22.9,78.385
358,27.26,150,27.26,0,0,317.8494,810,22.724999999999998,83.016
359,27.26,300,27.26,300,2.8711,297.1289,810,22.549999999999997,81.669
360,27.26,300,27.26,300,23.5915,276.4085,810,22.375,83.721
361,91.9,450,91.9,750,0,255.688,810,22.2,81.972
362,91.9,292.7,91.9,625.1,0,233.3424,758.8653,21.925,80.265
363,91.9,711,91.9,900,0,210.9967,743.2527,21.65,78.6
364,91.9,688.7,91.9,900,0,188.6511,611.6737,21.375,76.974
365,135.71,595.8,135.71,900,0,166.3055,480.0948,21.1,77.816
366,135.71,338.4,135.71,900,0,145.0433,367.0709,20.700000000000003,76.946
367,135.71,450,135.71,900,0,123.7811,316.2003,20.3,81.602
368,135.71,150,135.71,900,0,102.519,230.3532,19.9,86.14
369,179.67,81.3,179.67,900,0,81.2568,217.8582,19.5,89.681
370,179.67,65.5,179.67,900,0,65.5471,217.8582,19.1,90.179
371,179.67,150,179.67,900,0,49.8375,217.8582,18.7,92.324
372,179.67,150,179.67,900,0,34.1278,191.4997,18.299999999999997,90.929
373,135,150,135,900,0,18.4182,161.007,17.9,88.973
374,135,150,135,900,0,13.8137,126.3802,17.7,87.063
375,135,11.3,135,900,0,9.2091,90.5417,17.5,86.451
376,135,4.6,135,900,0,4.6046,90,17.3,86.048
377,118.12,0,118.12,684.2,0,0,90,17.1,85.85
378,118.12,0,118.12,301.6,0,0,90,16.775000000000002,85.714
379,118.12,0,118.12,150,0,0,90,16.450000000000003,83.905
380,118.12,0,118.12,21.7,0,0,90,16.125,82.115
381,91.96,0,91.96,300,0,0,90,15.8,80.369
382,91.96,0,91.96,300,0,0,90,15.450000000000001,78.662
383,91.96,0,91.96,300,0,0,90,15.100000000000001,76.994
384,91.96,0,91.96,153.9,0,0,90,14.75,75.364
385,88.46,0,88.46,900,0,0,90,14.4,73.77
386,88.46,0,88.46,900,0,0,90,14.15,72.215
387,88.46,0,88.46,900,0,0,90,13.9,70.698
388,88.46,0,88.46,900,0,0,90,13.65,69.22
389,78.65,0,78.65,900,0,0,90,13.4,14.7
390,78.65,0,78.65,900,0,0,90,13.275,14.7
391,78.65,0,78.65,900,0,0,90,13.15,14.698
392,78.65,0,78.65,900,0,0,90,13.025,14.694
393,75.96,0,75.96,900,0,0,90,12.9,14.689
394,75.96,0,75.96,900,0,0,90,12.85,14.682
395,75.96,0,75.96,900,0,0,90,12.8,14.674
396,75.96,0,75.96,900,0,0,90,12.75,14.666
