Umlauf,Dienste,Linie,Fahrtnummer,Betriebstage,Planungsbedingung,Typ,Fahrtart,Fahrzeugtypgruppe,Fahrzeugtyp,Beschreibung,von,Startzeit,von (Beschreibung),nach,Endzeit,nach (Beschreibung),Dauer,Meter,_source_order,start_min,end_min,dur_min,vehicle_type,consumption_wh_per_m,battery_capacity_kwh,trip_energy_kwh,_vehicle_fallback,start_hhmm,end_hhmm
"OW02EC1","OW02EC1","","","Alle Mo-Fr","OSchule","P","","GB","NGB/LB12","","OWESANO1","06:06:00","Wels Noitzmühlstraße, Mast 1","OWENZ_BP","06:06:00","Wels Noitzmühlstraße BP","00:00:00","0","78","366","366","0","NGB/LB12","1.2","400","0","false","06:06","06:06"
"OW02EC1","OW02EC1","","","Alle Mo-Fr","OSchule","P","","GB","NGB/LB12","","OWENZ_BP","06:06:00","Wels Noitzmühlstraße BP","OWESANO2","06:06:00","Wels Noitzmühlstraße, Mast 2","00:00:00","0","79","366","366","0","NGB/LB12","1.2","400","0","false","06:06","06:06"
"OW02EC1","OW02EC1","700450","7004110","Alle Mo-Fr","","L","L","GB","NGB/LB12","","OWENIDO1","06:31:00","Wels Nico-Dostal-Straße, Mast 1","OWESANO1","07:07:00","Wels Noitzmühlstraße, Mast 1","00:36:00","12750","80","391","427","36","NGB/LB12","1.2","400","15.3","false","06:31","07:07"
"OW02EC1","OW02EC1","","","Alle Mo-Fr","OSchule","P","","GB","NGB/LB12","","OWENIDO2","06:31:00","Wels Nico-Dostal-Straße, Mast 2","OWEDO_BP","06:31:00","Wels Nico-Dostal-Straße BP","00:00:00","0","81","391","391","0","NGB/LB12","1.2","400","0","false","06:31","06:31"
"OW02EC1","OW02EC1","","","Alle Mo-Fr","OSchule","P","","GB","NGB/LB12","","OWEDO_BP","06:31:00","Wels Nico-Dostal-Straße BP","OWENIDO1","06:31:00","Wels Nico-Dostal-Straße, Mast 1","00:00:00","0","82","391","391","0","NGB/LB12","1.2","400","0","false","06:31","06:31"
"OW02EC1","OW02EC1","700450","7004117","Alle Mo-Fr","","L","L","GB","NGB/LB12","","OWESANO2","07:07:00","Wels Noitzmühlstraße, Mast 2","OWENIDO2","07:36:00","Wels Nico-Dostal-Straße, Mast 2","00:29:00","7280","83","427","456","29","NGB/LB12","1.2","400","8.736","false","07:07","07:36"
"OW02EC1","OW02EC1","","","Alle Mo-Fr","OSchule","P","","GB","NGB/LB12","","OWESANO1","07:07:00","Wels Noitzmühlstraße, Mast 1","OWENZ_BP","07:07:00","Wels Noitzmühlstraße BP","00:00:00","0","84","427","427","0","NGB/LB12","1.2","400","0","false","07:07","07:07"
"OW02EC1","OW02EC1","","","Alle Mo-Fr","OSchule","P","","GB","NGB/LB12","","OWENZ_BP","07:07:00","Wels Noitzmühlstraße BP","OWESANO2","07:07:00","Wels Noitzmühlstraße, Mast 2","00:00:00","0","85","427","427","0","NGB/LB12","1.2","400","0","false","07:07","07:07"
"OW02EC1","OW02EC1","700450","7004122","Alle Mo-Fr","","L","L","GB","NGB/LB12","","OWENIDO1","07:36:00","Wels Nico-Dostal-Straße, Mast 1","OWESANO1","08:11:00","Wels Noitzmühlstraße, Mast 1","00:35:00","11910","86","456","491","35","NGB/LB12","1.2","400","14.292","false","07:36","08:11"
"OW02EC1","OW02EC1","","","Alle Mo-Fr","OSchule","P","","GB","NGB/LB12","","OWENIDO2","07:36:00","Wels Nico-Dostal-Straße, Mast 2","OWEDO_BP","07:36:00","Wels Nico-Dostal-Straße BP","00:00:00","0","87","456","456","0","NGB/LB12","1.2","400","0","false","07:36","07:36"
